indicador,mensuracao,intervalos,fonte
População rural,total,"0, 1000, 5000, 10000, 25000, 50000, 100000","Censo 2022, IBGE."
População,total,"0, 25000, 50000, 100000, 200000, 500000, 12000000","Censo 2022, IBGE."
% População rural,percentual,"0, .10, .20, .30, .40, .50, 1","Censo 2022, IBGE."
% Agricultura familiar entre estabelecimentos agrícolas,percentual,"0, .50, .60, .70, .80, .90, 1","Censo Agropecuário 2017, IBGE."
Taxa de alfabetização,percentual,".63, .70, .76, .82, .88, .94, 1","Percentual das pessoas com mais de 15 anos de idade que sabe ler ou escrever. Censo 2022, IBGE."
% Quilombola no município,percentual,"0, 0.001, 0.01, 0.02, 0.05, 0.10, 1","% da população do município que é quilombola, Censo 2022, IBGE."
% no Cad Único no município,percentual,"0, 0.4, 0.5, 0.6, 0.7, 0.8, 1","Ministério do Desenvolvimento Social e Estimativas da População de 2025, IBGE. Se o valor ultrapassa 100%, aparece no mapa como 100%."
% Crianças de 0 a 14 anos no município,percentual,"0.06, 0.10, 0.15, 0.20, 0.25, 0.30, 0.5","% de crianças de 0 a 14 anos na população, Censo 2022, IBGE."
% Indígena no município,percentual,"0, 0.001, 0.01, 0.02, 0.05, 0.10, 1","% da população no município que é indígena, Censo 2022, IBGE."
Média de moradores por domicílio,decimal,"2.2, 2.5, 2.8, 3.1, 3.4, 3.7, 6","Média em domicílios particulares permanentes, no município. Censo 2022, IBGE."
Número de alertas: acumulado de chuva,total,"0, 1, 10, 25, 50, 100, 240","INMET, número de alertas para o município em um intervalo de dois anos (ago/23 a jul/25)."
Número de alertas: baixa umidade,total,"0, 1, 10, 50, 100, 200, 370","INMET, número de alertas para o município em um intervalo de dois anos (ago/23 a jul/25)."
Número de alertas: chuvas intensas,total,"0, 10, 50, 100, 300, 600, 1500","INMET, número de alertas para o município em um intervalo de dois anos (ago/23 a jul/25)."
Número de alertas: tempestade,total,"0, 1, 10, 50, 100, 200, 460","INMET, número de alertas para o município em um intervalo de dois anos (ago/23 a jul/25)."
Número de alertas: vendaval,total,"0, 1, 3, 5, 8, 10, 24","INMET, número de alertas para o município em um intervalo de dois anos (ago/23 a jul/25)."
Estabelecimentos agropecuários,total,"0, 250, 500, 1000, 2000, 4000, 13000","Censo Agropecuário 2017, IBGE."
Estabelecimentos de agricultura familiar,total,"0, 150, 350, 700, 1400, 2800, 12000","Censo Agropecuário 2017, IBGE."
% que recebe orientação técnica,percentual,"0, 0.055, 0.118, 0.215, 0.351, 0.538, 1","IBGE, Censo Agropecuário 2017 (tabela 6881)."
% orientação técnica: governo,percentual,"0, 0.011, 0.03, 0.059, 0.104, 0.192, 1","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: próprio produtor,percentual,"0, 0.01, 0.025, 0.052, 0.101, 0.194, 1","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: cooperativas,percentual,"0, 0.001, 0.003, 0.011, 0.041, 0.15, 0.919","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: empresas integradoras,percentual,"0, 0.001, 0.002, 0.007, 0.02, 0.064, 0.788","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: empresas privadas,percentual,"0, 0.001, 0.002, 0.003, 0.006, 0.014, 0.933","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: ONGs,percentual,"0, 0.001, 0.002, 0.003, 0.004, 0.005, 0.391","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: Sistema S,percentual,"0, 0.001, 0.002, 0.003, 0.004, 0.008, 0.347","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% orientação técnica: outra origem,percentual,"0, 0.001, 0.003, 0.005, 0.009, 0.019, 0.494","IBGE, Censo Agropecuário 2017 (tabela 6881). Um estabelecimento pode receber orientação de mais de uma origem; os percentuais não somam 100%."
% de domicílios com acesso à internet,percentual,"0.25, 0.714, 0.767, 0.81, 0.847, 0.883, 0.969","IBGE, Censo Demográfico 2022."
